loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
12,EPIC 201132684,EPIC 201132684.01,K2-158 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,Candidate identifier changed to match previous publication.,10,1,10.06049000,0.00134000,-0.00148000,0,2457590.483400,0.008000,-0.006400,0,19.100000,1.600000,-4.000000,0,0.02550,0.00160,-0.00080,0,2.640,0.160,-0.100,0,,,,,11.678,,0,9.974,0.021,0
13,EPIC 201132684,EPIC 201132684.02,K2-158 c,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,Candidate identifier changed to match previous publication.,10,1,5.90279000,0.00191000,-0.00233000,0,2457583.882800,0.013100,-0.012000,0,11.300000,2.400000,-2.900000,0,0.01230,0.00120,-0.00090,0,1.280,0.130,-0.100,0,,,,,11.678,,0,9.974,0.021,0
14,EPIC 201132684,EPIC 201132684.01,K2-158 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,10.06210600,0.00227000,-0.00222800,0,2457590.481730,0.009560,-0.009157,0,17.602997,2.857394,-5.826397,0,0.02707,0.00275,-0.00198,0,2.635,0.346,-0.219,0,0.89,0.07,-0.04,0,11.678,,0,9.974,0.021,0
15,EPIC 201147085,EPIC 201147085.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,1.17589000,0.00010000,-0.00010000,0,2456810.740600,0.004200,-0.004000,0,6.300000,2.500000,-1.400000,0,0.02540,0.00250,-0.00520,0,0.860,0.180,-0.260,0,0.31,0.06,-0.07,0,14.519,,0,11.397,0.023,0
16,EPIC 201152065,EPIC 201152065.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,10.69660000,0.00200000,-0.00210000,0,2456817.314700,0.007200,-0.006900,0,21.900000,9.600000,-4.600000,0,0.02260,0.00220,-0.00550,0,1.450,0.180,-0.360,0,0.59,0.04,-0.01,0,13.951,,0,11.430,0.023,0
17,EPIC 201155177,EPIC 201155177.01,K2-42 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,6.68796000,0.00093000,-0.00093000,0,2456814.676300,0.005200,-0.005200,0,,,,,0.03040,0.00280,-0.00280,0,2.150,0.240,-0.240,0,0.64,0.04,-0.04,0,14.632,,0,12.284,0.019,0
18,EPIC 201155177,EPIC 201155177.01,K2-42 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,6.68743520,,,0,2456814.676000,,,0,,,,,0.03239,,,0,2.790,,,0,0.69,,,0,14.632,,0,12.284,0.019,0
19,EPIC 201155177,EPIC 201155177.01,K2-42 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,6.68851000,0.00074000,-0.00075000,0,2456814.674700,0.004700,-0.004400,0,14.000000,5.100000,-2.500000,0,0.03130,0.00230,-0.00470,0,2.250,0.270,-0.470,0,0.66,0.06,-0.10,0,14.632,,0,12.284,0.019,0
20,EPIC 201160662,EPIC 201160662.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,1.53741150,0.00000620,-0.00000610,0,2456810.497140,0.000190,-0.000190,0,3.590000,0.100000,-0.170000,0,0.25900,0.07100,-0.09900,0,45.000,12.000,-17.000,0,1.60,0.05,-0.04,0,12.122,,0,10.797,0.024,0
21,EPIC 201164625,EPIC 201164625.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,2.71189000,0.00068000,-0.00056000,0,2457583.136200,0.011200,-0.017900,0,5.500000,1.100000,-1.500000,0,0.01210,0.00100,-0.00080,0,4.340,0.430,-0.350,0,,,,,11.919,,0,10.777,0.023,0
22,EPIC 201166680,EPIC 201166680.02,K2-243 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,11.54182000,0.00272000,-0.00221000,0,2457593.206200,0.007900,-0.010200,0,21.200000,2.000000,-4.500000,0,0.01440,0.00080,-0.00070,0,2.170,0.140,-0.120,0,,,,,10.897,,0,9.591,0.021,0
23,EPIC 201166680,EPIC 201166680.03,K2-243 c,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,24.94598000,0.00491000,-0.00561000,0,2457584.505000,0.007700,-0.007200,0,35.600000,4.000000,-9.200000,0,0.01330,0.00090,-0.00090,0,2.010,0.150,-0.130,0,,,,,10.897,,0,9.591,0.021,0
24,EPIC 201166680,EPIC 201166680.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,18.10549000,0.01008300,-0.01289700,0,2457598.193300,0.020571,-0.015611,0,26.263676,5.294142,-8.940986,0,0.01572,0.00173,-0.00119,0,2.100,0.306,-0.201,0,1.22,0.12,-0.07,0,10.897,,0,9.591,0.021,0
25,EPIC 201176672,EPIC 201176672.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,,,,,2456877.803800,0.000500,-0.000500,0,,,,,0.39000,0.10000,-0.14000,0,30.000,8.300,-10.600,0,0.71,0.05,-0.05,0,13.980,,0,11.604,0.023,0
26,EPIC 201176672,EPIC 201176672.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,79.99990000,0.00980000,-0.00980000,0,2456877.804600,0.001500,-0.001500,0,,,,,0.18000,0.01100,-0.01100,0,10.200,2.100,-2.100,0,0.51,0.10,-0.10,0,13.980,,0,11.604,0.023,0
27,EPIC 201180665,EPIC 201180665.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,17.77297000,0.00009000,-0.00009000,0,2457586.498600,0.000200,-0.000200,0,33.300000,0.300000,-0.300000,0,0.18920,0.00080,-0.00090,0,26.440,0.650,-0.650,0,,,,,13.080,,0,11.650,0.019,0
28,EPIC 201182911,EPIC 201182911.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,0.99656225,,,0,2456811.090000,,,0,,,,,0.62560,,,0,32.800,,,0,0.50,,,0,15.516,,0,12.335,0.027,0
29,EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,14.91238100,,,0,2456825.111000,,,0,,,,,0.04445,,,0,3.550,,,0,0.65,,,0,15.135,,0,12.424,0.027,0
30,EPIC 201197348,EPIC 201197348.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,14.91390000,0.00180000,-0.00200000,0,2456825.110800,0.004500,-0.004200,0,32.600000,9.700000,-4.800000,0,0.04600,0.00380,-0.00780,0,3.240,0.330,-0.560,0,0.65,0.04,-0.02,0,15.135,,0,12.424,0.027,0
31,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,3.47134000,0.00016000,-0.00016000,0,2456809.881000,0.002000,-0.002000,0,13.510000,,,0,0.07400,0.00200,-0.00200,0,4.760,0.340,-0.330,0,,,,,14.887,,0,11.577,0.024,0
32,EPIC 201205469,EPIC 201205469.01,K2-43 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,3.47113600,0.00007900,-0.00007900,0,2456813.356300,0.001100,-0.001100,0,12.800000,2.800000,-1.300000,0,0.07750,0.00340,-0.00630,0,5.160,0.490,-0.490,0,0.61,0.05,-0.03,0,14.887,,0,11.577,0.024,0
33,EPIC 201205469,EPIC 201205469.01,K2-43 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,3.47114000,0.00021000,-0.00021000,0,2456809.884500,0.003300,-0.003300,0,,,,,0.06600,0.00360,-0.00360,0,4.130,0.310,-0.310,0,0.57,0.03,-0.03,0,14.887,,0,11.577,0.024,0
34,EPIC 201205469,EPIC 201205469.01,K2-43 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,3.47128500,,,0,2456813.353000,,,0,,,,,0.07773,,,0,4.370,,,0,0.50,,,0,14.887,,0,11.577,0.024,0
35,EPIC 201205469,EPIC 201205469.02,K2-43 c,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,2.19945000,0.00015000,-0.00014000,0,2456810.394300,0.003000,-0.003200,0,10.400000,5.000000,-2.400000,0,0.03910,0.00390,-0.01130,0,2.600,0.340,-0.760,0,0.61,0.05,-0.03,0,14.887,,0,11.577,0.024,0
36,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,10.00510000,0.00044000,-0.00043000,0,2456815.515700,0.001900,-0.002000,0,24.600000,5.800000,-2.600000,0,0.03680,0.00150,-0.00310,0,2.290,0.360,-0.280,0,0.57,0.09,-0.05,0,14.409,,0,11.571,0.023,0
37,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,10.00361000,,,0,2456815.524000,,,0,,,,,0.03485,,,0,2.570,,,0,0.62,,,0,14.409,,0,11.571,0.023,0
38,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,10.00440000,0.00110000,-0.00110000,0,2456815.517000,0.045000,-0.045000,0,,,,,0.03490,0.00410,-0.00410,0,1.690,0.300,-0.300,0,0.43,0.06,-0.06,0,14.409,,0,11.571,0.023,0
39,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..207D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,10.00339000,0.00100000,-0.00099000,0,2456815.524000,0.004000,-0.004000,0,27.720000,,,0,0.03400,0.00100,-0.00100,0,2.100,0.200,-0.190,0,,,,,14.409,,0,11.571,0.023,0
40,EPIC 201208431,EPIC 201208431.01,K2-4 b,CONFIRMED,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,CONFIRMED,,1,0,10.00329000,0.00159000,-0.00159000,0,2456815.521200,0.008000,-0.008000,0,27.790000,0.720000,-0.720000,0,,,,,2.370,0.400,-0.400,0,0.60,0.02,-0.02,0,14.409,,0,11.571,0.023,0
41,EPIC 201208431,EPIC 201208431.01,K2-4 b,CANDIDATE,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,CONFIRMED,,1,0,10.00617969,,,0,2456815.513027,,,0,,,,,,,,,,,,,,,,,14.409,,0,11.571,0.023,0
42,EPIC 201211526,EPIC 201211526.01,K2-244 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,21.06884000,0.00320000,-0.00325000,0,2457588.474900,0.006200,-0.006500,0,38.300000,5.500000,-10.100000,0,0.01740,0.00130,-0.00090,0,1.750,0.130,-0.100,0,,,,,11.696,,0,10.163,0.023,0
43,EPIC 201211526,EPIC 201211526.01,K2-244 b,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,21.07020100,0.00241300,-0.00226700,0,2457588.478000,0.004046,-0.003967,0,34.288349,5.285277,-11.016202,0,0.01698,0.00312,-0.00127,0,1.650,0.320,-0.141,0,0.89,0.06,-0.04,0,11.696,,0,10.163,0.023,0
44,EPIC 201225286,EPIC 201225286.01,K2-159 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12.42205000,0.00180000,-0.00182000,0,2457586.508200,0.007400,-0.007700,0,27.900000,3.800000,-6.900000,0,0.02500,0.00180,-0.00110,0,2.260,0.170,-0.110,0,,,,,11.729,,0,9.978,0.021,0
45,EPIC 201225286,EPIC 201225286.01,K2-159 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,12.42107800,0.00104900,-0.00100100,0,2457586.514670,0.003415,-0.003682,0,26.135513,2.846505,-6.017701,0,0.02439,0.00226,-0.00134,0,2.208,0.237,-0.144,0,0.83,0.04,-0.03,0,11.729,,0,9.978,0.021,0
46,EPIC 201227197,EPIC 201227197.01,K2-160 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,3.70587100,0.00007400,-0.00007600,0,2457585.666380,0.000815,-0.000786,0,14.684713,1.540603,-3.663367,0,0.03189,0.00171,-0.00114,0,3.178,0.214,-0.145,0,0.91,0.04,-0.03,0,12.486,,0,11.037,0.026,0
47,EPIC 201231064,EPIC 201231064.01,K2-161 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,9.28318800,0.00205200,-0.00230000,0,2457587.847550,0.007734,-0.007298,0,10.790043,1.763597,-4.708439,0,0.02184,0.00518,-0.00181,0,6.117,1.633,-0.783,0,2.57,0.31,-0.25,0,12.358,,0,10.261,0.024,0
48,EPIC 201231940,EPIC 201231940.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,0.57303573,,,0,2456810.511000,,,0,,,,,0.09028,,,0,3.350,,,0,0.43,,,0,18.108,,0,15.155,0.159,0
49,EPIC 201238110,EPIC 201238110.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,7.90417000,0.00091000,-0.00148000,0,2456813.689500,0.010600,-0.004900,0,27.300000,12.400000,-9.400000,0,0.05050,0.00500,-0.01290,0,2.060,0.530,-0.560,0,0.37,0.09,-0.04,0,14.904,,0,11.933,0.024,0
50,EPIC 201238110,EPIC 201238110.02,EPIC 201238110 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,28.16960000,0.00380000,-0.00430000,0,2456824.483600,0.006300,-0.005100,0,61.500000,15.100000,-7.600000,0,0.05400,0.00340,-0.00540,0,2.200,0.540,-0.300,0,0.37,0.09,-0.04,0,14.904,,0,11.933,0.024,0
51,EPIC 201238110,EPIC 201238110.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,7.90696060,,,0,2456813.675000,,,0,,,,,0.04848,,,0,3.020,,,0,0.52,,,0,14.904,,0,11.933,0.024,0
52,EPIC 201238163,EPIC 201238163.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,1.08296140,,,0,2456810.366000,,,0,,,,,0.02378,,,0,1.560,,,0,0.56,,,0,15.279,,0,12.282,0.024,0
53,EPIC 201239401,EPIC 201239401.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,0.90565500,0.00004900,-0.00005000,0,2456810.937200,0.002500,-0.002400,0,4.140000,1.430000,-0.710000,0,0.02500,0.00190,-0.00390,0,1.570,0.160,-0.260,0,0.58,0.04,-0.03,0,15.042,,0,11.735,0.026,0
54,EPIC 201239401,EPIC 201239401.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,0.90552205,,,0,2456810.944000,,,0,,,,,0.02628,,,0,1.520,,,0,0.50,,,0,15.042,,0,11.735,0.026,0
55,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,2.75411290,,,0,2456810.901000,,,0,,,,,0.07842,,,0,4.870,,,0,0.55,,,0,16.770,,0,13.748,0.057,0
56,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,2.75421000,0.00012000,-0.00012000,0,2456810.899900,0.002000,-0.001900,0,13.700000,5.600000,-4.700000,0,0.08700,0.01100,-0.07000,0,8.400,1.200,-6.800,0,0.89,0.06,-0.01,0,16.770,,0,13.748,0.057,0
57,EPIC 201247497,EPIC 201247497.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,0,2.75391000,0.00015000,-0.00015000,0,2456810.903100,0.002300,-0.002300,0,,,,,0.07900,0.01300,-0.01300,0,3.780,0.680,-0.680,0,0.44,0.03,-0.03,0,16.770,,0,13.748,0.057,0
